index,name,artist,release_date,length,popularity,danceability
0,Smells Like Teen Spirit,Nirvana,1991,5.032,74,0.502
1,Stairway to Heaven - Remaster,Led Zeppelin,1971,8.047166667,78,0.338
2,Bohemian Rhapsody - Remastered 2011,Queen,1975,5.905333333,74,0.392
3,Imagine - Remastered 2010,John Lennon,1971,3.1311,77,0.547
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,77,0.723
5,Hotel California - 2013 Remaster,Eagles,1976,6.522933333,83,0.579
6,Enter Sandman,Metallica,1991,5.526216667,74,0.579
7,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.564883333,77,0.412
8,Comfortably Numb,Pink Floyd,1979,6.3716,74,0.472
9,One,U2,1991,4.6031,76,0.392
10,Born to Run,Bruce Springsteen,1975,4.498666667,73,0.27
11,Smoke on the Water,Deep Purple,1972,5.702883333,64,0.632
12,Hey Jude - Remastered 2015,The Beatles,2000,7.094216667,76,0.386
13,Paranoid - 2012 - Remaster,Black Sabbath,1970,2.80675,69,0.412
14,Seven Nation Army,The White Stripes,2003,3.862216667,65,0.726
15,Free Bird,Lynyrd Skynyrd,1973,9.118433333,71,0.249
16,Back In Black,AC/DC,1980,4.258216667,84,0.31
17,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,6.302433333,75,0.702
18,Wish You Were Here,Pink Floyd,1975,5.57905,77,0.481
19,With Or Without You - Remastered,U2,1987,4.92525,79,0.54
20,Sweet Child O' Mine,Guns N' Roses,1987,5.908666667,81,0.454
21,I Still Haven't Found What I'm Looking For,U2,1987,4.6246,78,0.564
22,Like a Rolling Stone,Bob Dylan,1965,6.16,74,0.483
23,All Along the Watchtower,Jimi Hendrix,1968,4.013333333,78,0.438
24,Under the Bridge,Red Hot Chili Peppers,1991,4.4051,81,0.559
25,Creep,Radiohead,1993,3.977333333,82,0.515
26,Kashmir - 1990 Remaster,Led Zeppelin,1975,8.47,69,0.48
27,Light My Fire,The Doors,1967,7.162666667,73,0.413
28,My Generation - Stereo Version,The Who,1965,3.311766667,68,0.412
29,More Than a Feeling,Boston,1976,4.752216667,79,0.377
30,"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,3.9791,76,0.694
31,Layla,Derek & The Dominos,1970,7.064,74,0.404
32,Gimme Shelter,The Rolling Stones,1969,4.512883333,75,0.634
33,You Shook Me All Night Long,AC/DC,1980,3.502883333,80,0.532
34,Alive,Pearl Jam,1991,5.681783333,75,0.284
35,Won't Get Fooled Again - Original Album Version,The Who,1971,8.523333333,64,0.686
36,London Calling - Remastered,The Clash,1979,3.341333333,73,0.651
37,Come As You Are,Nirvana,1991,3.648666667,72,0.5
38,Purple Haze,Jimi Hendrix,1967,2.846883333,72,0.533
39,Pride (In The Name Of Love) - Remastered 2009,U2,1984,3.8071,59,0.458
40,Dream On,Aerosmith,1973,4.449333333,79,0.307
41,Sunday Bloody Sunday - Remastered 2008,U2,1983,4.657333333,71,0.543
42,Rock and Roll - Remaster,Led Zeppelin,1971,3.676,67,0.317
43,In My Life - Remastered 2009,The Beatles,1965,2.438883333,73,0.688
44,Let It Be - Remastered 2009,The Beatles,1970,4.050433333,78,0.443
45,Baba O'Riley,The Who,1971,5.006666667,77,0.489
46,Jeremy,Pearl Jam,1991,5.303766667,72,0.285
47,Welcome To The Jungle,Guns N' Roses,1987,4.533766667,78,0.447
48,Bitter Sweet Symphony,The Verve,1997,5.954433333,78,0.356
49,Roxanne,The Police,1978,3.1991,76,0.618
50,Money,Pink Floyd,1973,6.380566667,72,0.469
51,Every Breath You Take - Remastered 2003,The Police,1983,4.231433333,3,0.813
52,A Day In The Life - Remastered 2009,The Beatles,1967,5.62355,66,0.364
53,Sweet Emotion,Aerosmith,1975,4.568883333,75,0.38
54,Born To Be Wild - Single Version,Steppenwolf,1968,3.548216667,68,0.439
55,New Year's Day - Single Edit - Remastered,U2,1983,3.92955,57,0.53
56,"Paint It, Black",The Rolling Stones,1966,3.3711,78,0.464
57,Black Dog - Remaster,Led Zeppelin,1971,4.9231,72,0.437
58,Basket Case,Green Day,1994,3.02555,79,0.442
59,November Rain,Guns N' Roses,1991,8.934433333,80,0.294
60,Even Flow,Pearl Jam,1991,4.876333333,75,0.394
61,You Can't Always Get What You Want,The Rolling Stones,1969,7.478666667,67,0.32
62,Money for Nothing,Dire Straits,1985,8.44,62,0.667
63,Nothing Else Matters,Metallica,1991,6.478883333,69,0.558
64,Everlong,Foo Fighters,1997,4.175766667,78,0.413
65,Angie,The Rolling Stones,1973,4.533333333,73,0.429
66,Jump - 2015 Remaster,Van Halen,1984,4.02665,79,0.572
67,(Don't Fear) The Reaper,Blue Öyster Cult,1976,5.135333333,77,0.333
68,Come Together - Remastered 2009,The Beatles,1969,4.332433333,78,0.533
69,Jumpin’ Jack Flash - Live,The Rolling Stones,2020,6.601333333,31,0.157
70,Time,Pink Floyd,1973,6.899116667,70,0.358
